model_name,clean_accuracy,robust_accuracy,attack_success_rate,robustness_drop_pct,epsilon,num_iter,timestamp
plainnet110,10.0,9.7,0.3000000000000007,3.000000000000007,0.03137254901960784,10,2025-12-11 11:17:52
plainnet20,87.0,68.7,18.299999999999997,21.034482758620687,0.03137254901960784,10,2025-12-11 11:18:41
plainnet32,85.3,68.9,16.39999999999999,19.22626025791324,0.03137254901960784,10,2025-12-11 11:20:00
plainnet44,80.1,63.4,16.699999999999996,20.848938826466913,0.03137254901960784,10,2025-12-11 11:21:52
plainnet56,76.4,60.0,16.400000000000006,21.46596858638744,0.03137254901960784,10,2025-12-11 11:24:13
resnet110,84.2,65.5,18.700000000000003,22.209026128266036,0.03137254901960784,10,2025-12-11 11:29:00
resnet20,87.0,68.6,18.400000000000006,21.149425287356326,0.03137254901960784,10,2025-12-11 11:29:49
resnet32,88.0,71.3,16.700000000000003,18.97727272727273,0.03137254901960784,10,2025-12-11 11:31:08
resnet44,89.1,73.4,15.699999999999989,17.620650953984278,0.03137254901960784,10,2025-12-11 11:32:59
resnet56,88.6,72.1,16.5,18.623024830699777,0.03137254901960784,10,2025-12-11 11:35:26
vit110,71.0,50.8,20.200000000000003,28.45070422535212,0.03137254901960784,10,2025-12-11 12:07:45
vit32,74.2,53.8,20.400000000000006,27.493261455525612,0.03137254901960784,10,2025-12-11 12:11:23
vit56,68.3,48.1,20.199999999999996,29.575402635431914,0.03137254901960784,10,2025-12-11 12:23:33
wideresnet16_8,92.6,78.0,14.599999999999994,15.766738660907123,0.03137254901960784,10,2025-12-11 12:43:41
wideresnet28_10,93.9,80.1,13.800000000000011,14.696485623003205,0.03137254901960784,10,2025-12-11 13:55:22
wideresnet28_2,92.0,75.5,16.5,17.934782608695652,0.03137254901960784,10,2025-12-11 13:58:40
wideresnet40_2,91.2,76.2,15.0,16.44736842105263,0.03137254901960784,10,2025-12-11 14:03:38
